,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF,TotalBathSum,SalePrice
0,60,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,8,Typ,0,Gd,Attchd,RFn,2,548,TA,Y,0,2,2008,Normal,2566,3,61,3.5,208500
1,20,RL,80.0,9600,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,Ex,Y,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,460,TA,Y,0,5,2007,Normal,2524,2,0,2.5,181500
2,60,RL,68.0,11250,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,608,TA,Y,0,9,2008,Normal,2706,3,42,3.5,223500
3,70,RL,60.0,9550,Pave,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,Gd,Y,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,642,TA,Y,0,2,2006,Abnorml,2473,1,307,2.0,140000
4,60,RL,84.0,14260,Pave,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,836,TA,Y,0,12,2008,Normal,3343,3,84,3.5,250000
5,50,RL,85.0,14115,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,Ex,Y,1,1,TA,5,Typ,0,Gd,Attchd,Unf,2,480,TA,Y,0,10,2009,Normal,2158,2,350,2.5,143000
6,20,RL,75.0,10084,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,636,TA,Y,0,8,2007,Normal,3380,2,57,3.0,307000
7,60,RL,60.0,10382,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,Ex,Y,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,484,TA,Y,0,11,2009,Normal,3197,3,432,3.5,200000
8,50,RM,51.0,6120,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,468,TA,Y,0,4,2008,Abnorml,2726,2,205,2.0,129900
9,190,RL,50.0,7420,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,Ex,Y,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,205,TA,Y,0,1,2008,Normal,2068,1,4,2.0,118000
