,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF,TotalBathSum,SalePrice
0,60,3,65.0,8450,1,3,3,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,1,2,4,2,2,3,3,2,5,0,1,3,1,2,8,6,0,2,1,1,2,548,4,2,0,2,2008,4,2566,3,61,3.5,208500
1,20,3,80.0,9600,1,3,3,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,2,3,4,1,2,3,1,0,5,0,1,3,1,3,6,6,1,4,1,1,2,460,4,2,0,5,2007,4,2524,2,0,2.5,181500
2,60,3,68.0,11250,1,0,3,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,1,2,4,2,2,3,2,2,5,0,1,3,1,2,6,6,1,4,1,1,2,608,4,2,0,9,2008,4,2706,3,42,3.5,223500
3,70,3,60.0,9550,1,0,3,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,2,3,4,0,3,1,3,0,5,2,1,3,1,2,7,6,1,2,5,2,3,642,4,2,0,2,2006,0,2473,1,307,2.0,140000
4,60,3,84.0,14260,1,0,3,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,1,2,4,2,2,3,0,2,5,0,1,4,1,2,9,6,1,4,1,1,3,836,4,2,0,12,2008,4,3343,3,84,3.5,250000
5,50,3,85.0,14115,1,0,3,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,2,3,4,5,2,3,3,2,5,0,1,1,1,3,5,6,0,2,1,2,2,480,4,2,0,10,2009,4,2158,2,350,2.5,143000
6,20,3,75.0,10084,1,3,3,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,3,2,4,2,0,3,0,2,5,0,1,3,1,2,7,6,1,2,1,1,2,636,4,2,0,8,2007,4,3380,2,57,3.0,307000
7,60,3,60.0,10382,1,0,3,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,3,3,4,1,2,3,2,0,1,0,1,3,1,3,7,6,2,4,1,1,2,484,4,2,0,11,2009,4,3197,3,432,3.5,200000
8,50,4,51.0,6120,1,3,3,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,2,3,4,0,3,3,3,5,5,2,1,2,2,3,8,2,2,4,5,2,2,468,4,2,0,4,2008,0,2726,2,205,2.0,129900
9,190,3,50.0,7420,1,3,3,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,2,3,4,0,3,3,3,2,5,0,1,2,2,3,5,6,2,4,1,1,1,205,4,2,0,1,2008,4,2068,1,4,2.0,118000
10,20,3,70.0,11200,1,3,3,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,2,3,4,1,3,3,3,4,5,0,1,3,1,3,5,6,0,2,5,2,1,384,4,2,0,2,2008,4,2080,1,0,2.0,129500
11,60,3,85.0,11924,1,0,3,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,3,0,4,2,0,3,3,2,5,0,1,4,1,0,11,6,2,2,3,0,3,736,4,2,0,7,2006,5,3499,3,21,4.0,345000
12,20,3,60.0,12968,1,1,3,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,2,3,4,1,3,3,3,0,5,4,1,2,1,3,4,6,0,2,5,2,1,352,4,2,0,9,2008,4,1824,1,176,2.0,144000
13,20,3,91.0,10652,1,0,3,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,3,2,4,2,2,3,0,5,5,0,1,3,1,2,7,6,1,2,1,1,3,840,4,2,0,8,2007,5,2988,2,33,2.0,279500
14,20,3,60.0,10920,1,0,3,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,1,3,4,1,3,3,3,1,5,4,1,2,1,3,5,6,1,1,1,1,1,352,4,2,0,5,2008,4,2506,2,389,2.5,157000
15,45,4,51.0,6120,1,3,3,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,2,3,4,0,3,3,3,5,5,0,1,2,1,3,5,6,0,2,5,2,2,576,4,2,0,7,2007,4,1686,1,112,1.0,132000
16,20,3,60.0,11241,1,0,3,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,1,3,4,1,3,3,3,0,5,0,1,2,1,3,5,6,1,4,1,0,2,480,4,2,0,3,2010,4,2008,1,0,2.0,149000
17,90,3,72.0,10791,1,3,3,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,2,3,4,3,3,3,3,5,5,4,1,2,2,3,6,6,0,2,4,2,2,516,4,2,0,10,2006,4,1296,2,0,2.0,90000
18,20,3,66.0,13695,1,3,3,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,2,3,4,2,3,3,3,2,5,0,1,3,1,2,6,6,0,2,5,2,2,576,4,2,0,6,2008,4,2228,2,102,2.5,159000
19,20,3,70.0,7560,1,3,3,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,2,3,4,1,3,3,3,3,5,4,1,3,1,3,6,2,0,2,1,2,1,294,4,2,0,5,2009,0,2368,1,0,1.0,139000
20,60,3,101.0,14215,1,0,3,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,1,2,4,2,0,3,0,5,5,0,1,4,1,2,9,6,1,2,3,1,3,853,4,2,0,11,2006,5,3534,4,154,3.5,325300
21,45,4,57.0,7449,1,3,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,2,3,4,2,3,3,3,5,5,0,1,3,1,2,6,6,1,2,1,2,1,280,4,0,0,6,2007,4,1745,1,205,1.0,139400
22,20,3,75.0,9742,1,3,3,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,1,2,4,2,2,3,3,5,5,0,1,3,1,2,7,6,1,2,1,1,2,534,4,2,0,9,2008,4,3572,2,159,2.0,230000
23,120,4,44.0,4224,1,3,3,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,2,3,4,2,2,3,3,2,5,4,1,3,1,3,6,6,1,4,1,2,2,572,4,2,0,6,2007,4,2100,1,110,2.0,129900
