,Unnamed: 0,LotFrontage,LotArea,BldgType,HouseStyle,OverallCond,YearBuilt,RoofStyle,RoofMatl,Foundation,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PoolArea,YrSold,TotalSF,TotalBathSum,SalePrice
0,0,65.0,8450,1Fam,2Story,5,2003,Gable,CompShg,PConc,Ex,Y,3,1,8,Typ,0,2,548,0,2008,2566,3.5,208500
1,1,80.0,9600,1Fam,1Story,8,1976,Gable,CompShg,CBlock,Ex,Y,3,1,6,Typ,1,2,460,0,2007,2524,2.5,181500
2,2,68.0,11250,1Fam,2Story,5,2001,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,1,2,608,0,2008,2706,3.5,223500
3,3,60.0,9550,1Fam,2Story,5,1915,Gable,CompShg,BrkTil,Gd,Y,3,1,7,Typ,1,3,642,0,2006,2473,2.0,140000
4,4,84.0,14260,1Fam,2Story,5,2000,Gable,CompShg,PConc,Ex,Y,4,1,9,Typ,1,3,836,0,2008,3343,3.5,250000
5,5,85.0,14115,1Fam,1.5Fin,5,1993,Gable,CompShg,Wood,Ex,Y,1,1,5,Typ,0,2,480,0,2009,2158,2.5,143000
6,6,75.0,10084,1Fam,1Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,636,0,2007,3380,3.0,307000
7,7,60.0,10382,1Fam,2Story,6,1973,Gable,CompShg,CBlock,Ex,Y,3,1,7,Typ,2,2,484,0,2009,3197,3.5,200000
8,8,51.0,6120,1Fam,1.5Fin,5,1931,Gable,CompShg,BrkTil,Gd,Y,2,2,8,Min1,2,2,468,0,2008,2726,2.0,129900
9,9,50.0,7420,2fmCon,1.5Unf,6,1939,Gable,CompShg,BrkTil,Ex,Y,2,2,5,Typ,2,1,205,0,2008,2068,2.0,118000
10,10,70.0,11200,1Fam,1Story,5,1965,Hip,CompShg,CBlock,Ex,Y,3,1,5,Typ,0,1,384,0,2008,2080,2.0,129500
11,11,85.0,11924,1Fam,2Story,5,2005,Hip,CompShg,PConc,Ex,Y,4,1,11,Typ,2,3,736,0,2006,3499,4.0,345000
12,12,60.0,12968,1Fam,1Story,6,1962,Hip,CompShg,CBlock,TA,Y,2,1,4,Typ,0,1,352,0,2008,1824,2.0,144000
13,13,91.0,10652,1Fam,1Story,5,2006,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,3,840,0,2007,2988,2.0,279500
14,14,60.0,10920,1Fam,1Story,5,1960,Hip,CompShg,CBlock,TA,Y,2,1,5,Typ,1,1,352,0,2008,2506,2.5,157000
15,15,51.0,6120,1Fam,1.5Unf,8,1929,Gable,CompShg,BrkTil,Ex,Y,2,1,5,Typ,0,2,576,0,2007,1686,1.0,132000
16,16,60.0,11241,1Fam,1Story,7,1970,Gable,CompShg,CBlock,Ex,Y,2,1,5,Typ,1,2,480,0,2010,2008,2.0,149000
17,17,72.0,10791,Duplex,1Story,5,1967,Gable,CompShg,Slab,TA,Y,2,2,6,Typ,0,2,516,0,2006,1296,2.0,90000
18,18,66.0,13695,1Fam,1Story,5,2004,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,2,576,0,2008,2228,2.5,159000
19,19,70.0,7560,1Fam,1Story,6,1958,Hip,CompShg,CBlock,TA,Y,3,1,6,Min1,0,1,294,0,2009,2368,1.0,139000
20,20,101.0,14215,1Fam,2Story,5,2005,Gable,CompShg,PConc,Ex,Y,4,1,9,Typ,1,3,853,0,2006,3534,3.5,325300
21,21,57.0,7449,1Fam,1.5Unf,7,1930,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,1,1,280,0,2007,1745,1.0,139400
22,22,75.0,9742,1Fam,1Story,5,2002,Hip,CompShg,PConc,Ex,Y,3,1,7,Typ,1,2,534,0,2008,3572,2.0,230000
23,23,44.0,4224,TwnhsE,1Story,7,1976,Gable,CompShg,PConc,TA,Y,3,1,6,Typ,1,2,572,0,2007,2100,2.0,129900
24,24,60.0,8246,1Fam,1Story,8,1968,Gable,CompShg,CBlock,Ex,Y,3,1,6,Typ,1,1,270,0,2010,2120,2.0,154000
25,25,110.0,14230,1Fam,1Story,5,2007,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,3,890,0,2009,3166,2.0,256300
26,26,60.0,7200,1Fam,1Story,7,1951,Gable,CompShg,CBlock,TA,Y,3,1,5,Typ,0,2,576,0,2010,1800,1.5,134800
27,27,98.0,11478,1Fam,1Story,5,2007,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,1,3,772,0,2010,3408,3.0,306000
28,28,47.0,16321,1Fam,1Story,6,1957,Gable,CompShg,CBlock,TA,Y,2,1,6,Typ,2,1,319,0,2006,3084,2.0,207500
29,29,60.0,6324,1Fam,1Story,6,1927,Gable,CompShg,BrkTil,Fa,N,1,1,4,Typ,0,1,240,0,2008,1040,1.0,68500
30,30,50.0,8500,1Fam,2Story,4,1920,Gambrel,CompShg,BrkTil,TA,N,3,1,6,Typ,0,1,250,0,2008,1966,1.0,40000
31,31,60.0,8544,1Fam,1Story,6,1966,Gable,CompShg,CBlock,Gd,Y,3,1,6,Typ,0,1,271,0,2008,2456,1.5,149350
32,32,85.0,11049,1Fam,1Story,5,2007,Gable,CompShg,PConc,Ex,Y,3,1,7,Typ,0,2,484,0,2008,2468,2.0,179900
33,33,70.0,10552,1Fam,1Story,5,1959,Hip,CompShg,CBlock,Gd,Y,4,1,6,Typ,1,2,447,0,2010,3098,2.0,165500
34,34,60.0,7313,TwnhsE,1Story,5,2005,Hip,CompShg,PConc,Ex,Y,2,1,6,Typ,1,2,556,0,2007,3122,3.0,277500
35,35,108.0,13418,1Fam,2Story,5,2004,Gable,CompShg,PConc,Ex,Y,4,1,9,Typ,1,3,691,0,2006,3569,3.5,309000
36,36,112.0,10859,1Fam,1Story,5,1994,Gable,CompShg,PConc,Ex,Y,3,1,6,Typ,0,2,672,0,2009,2194,1.5,145000
37,37,74.0,8532,1Fam,1Story,6,1954,Hip,CompShg,CBlock,Gd,Y,3,1,5,Typ,1,2,498,0,2009,2594,1.5,153000
38,38,68.0,7922,1Fam,1Story,7,1953,Gable,CompShg,CBlock,TA,Y,3,1,5,Typ,0,1,246,0,2010,2114,2.0,109000
39,39,65.0,6040,Duplex,1Story,5,1955,Gable,CompShg,PConc,TA,N,2,2,6,Typ,0,0,0,0,2008,1152,2.0,82000
