,Unnamed: 0,LotFrontage,LotArea,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Foundation,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PoolArea,TotalSF,TotalBathSum,SalePrice,AgeOfHouseSold
0,0,65.0,8450,0,5,5,1,1,2,0,1,3,1,8,6,0,2,548,0,2566,3.5,208500,5
1,1,80.0,9600,0,2,8,1,1,1,0,1,3,1,6,6,1,2,460,0,2524,2.5,181500,31
2,2,68.0,11250,0,5,5,1,1,2,0,1,3,1,6,6,1,2,608,0,2706,3.5,223500,7
3,3,60.0,9550,0,5,5,1,1,0,2,1,3,1,7,6,1,3,642,0,2473,2.0,140000,91
4,4,84.0,14260,0,5,5,1,1,2,0,1,4,1,9,6,1,3,836,0,3343,3.5,250000,8
5,5,85.0,14115,0,0,5,1,1,5,0,1,1,1,5,6,0,2,480,0,2158,2.5,143000,16
6,6,75.0,10084,0,2,5,1,1,2,0,1,3,1,7,6,1,2,636,0,3380,3.0,307000,3
7,7,60.0,10382,0,5,6,1,1,1,0,1,3,1,7,6,2,2,484,0,3197,3.5,200000,36
8,8,51.0,6120,0,0,5,1,1,0,2,1,2,2,8,2,2,2,468,0,2726,2.0,129900,77
9,9,50.0,7420,1,1,6,1,1,0,0,1,2,2,5,6,2,1,205,0,2068,2.0,118000,69
10,10,70.0,11200,0,2,5,3,1,1,0,1,3,1,5,6,0,1,384,0,2080,2.0,129500,43
11,11,85.0,11924,0,5,5,3,1,2,0,1,4,1,11,6,2,3,736,0,3499,4.0,345000,1
12,12,60.0,12968,0,2,6,3,1,1,4,1,2,1,4,6,0,1,352,0,1824,2.0,144000,46
13,13,91.0,10652,0,2,5,1,1,2,0,1,3,1,7,6,1,3,840,0,2988,2.0,279500,1
14,14,60.0,10920,0,2,5,3,1,1,4,1,2,1,5,6,1,1,352,0,2506,2.5,157000,48
15,15,51.0,6120,0,1,8,1,1,0,0,1,2,1,5,6,0,2,576,0,1686,1.0,132000,78
16,16,60.0,11241,0,2,7,1,1,1,0,1,2,1,5,6,1,2,480,0,2008,2.0,149000,40
17,17,72.0,10791,2,2,5,1,1,3,4,1,2,2,6,6,0,2,516,0,1296,2.0,90000,39
18,18,66.0,13695,0,2,5,1,1,2,0,1,3,1,6,6,0,2,576,0,2228,2.5,159000,4
19,19,70.0,7560,0,2,6,3,1,1,4,1,3,1,6,2,0,1,294,0,2368,1.0,139000,51
20,20,101.0,14215,0,5,5,1,1,2,0,1,4,1,9,6,1,3,853,0,3534,3.5,325300,1
21,21,57.0,7449,0,1,7,1,1,2,0,1,3,1,6,6,1,1,280,0,1745,1.0,139400,77
22,22,75.0,9742,0,2,5,3,1,2,0,1,3,1,7,6,1,2,534,0,3572,2.0,230000,6
23,23,44.0,4224,4,2,7,1,1,2,4,1,3,1,6,6,1,2,572,0,2100,2.0,129900,31
24,24,60.0,8246,0,2,8,1,1,1,0,1,3,1,6,6,1,1,270,0,2120,2.0,154000,42
25,25,110.0,14230,0,2,5,1,1,2,0,1,3,1,7,6,1,3,890,0,3166,2.0,256300,2
26,26,60.0,7200,0,2,7,1,1,1,4,1,3,1,5,6,0,2,576,0,1800,1.5,134800,59
27,27,98.0,11478,0,2,5,1,1,2,0,1,3,1,7,6,1,3,772,0,3408,3.0,306000,3
28,28,47.0,16321,0,2,6,1,1,1,4,1,2,1,6,6,2,1,319,0,3084,2.0,207500,49
29,29,60.0,6324,0,2,6,1,1,0,1,0,1,1,4,6,0,1,240,0,1040,1.0,68500,81
30,30,50.0,8500,0,5,4,2,1,0,4,0,3,1,6,6,0,1,250,0,1966,1.0,40000,88
31,31,60.0,8544,0,2,6,1,1,1,2,1,3,1,6,6,0,1,271,0,2456,1.5,149350,42
32,32,85.0,11049,0,2,5,1,1,2,0,1,3,1,7,6,0,2,484,0,2468,2.0,179900,1
33,33,70.0,10552,0,2,5,3,1,1,2,1,4,1,6,6,1,2,447,0,3098,2.0,165500,51
34,34,60.0,7313,4,2,5,3,1,2,0,1,2,1,6,6,1,2,556,0,3122,3.0,277500,2
35,35,108.0,13418,0,5,5,1,1,2,0,1,4,1,9,6,1,3,691,0,3569,3.5,309000,2
36,36,112.0,10859,0,2,5,1,1,2,0,1,3,1,6,6,0,2,672,0,2194,1.5,145000,15
37,37,74.0,8532,0,2,6,3,1,1,2,1,3,1,5,6,1,2,498,0,2594,1.5,153000,55
38,38,68.0,7922,0,2,7,1,1,1,4,1,3,1,5,6,0,1,246,0,2114,2.0,109000,57
39,39,65.0,6040,2,2,5,1,1,2,4,0,2,2,6,6,0,0,0,0,1152,2.0,82000,53
40,40,84.0,8658,0,2,5,1,1,1,0,1,3,1,6,6,1,2,440,0,2412,2.0,160000,41
41,41,115.0,16905,0,2,6,1,1,1,2,1,2,1,5,6,2,1,308,0,2678,2.0,170000,48
42,42,60.0,9180,0,6,7,1,1,1,2,1,2,1,5,6,0,2,504,0,1724,2.0,144000,24
43,43,60.0,9200,0,2,6,3,1,1,4,1,3,1,5,6,0,1,308,0,1876,2.0,130250,33
44,44,70.0,7945,0,2,6,1,1,1,0,1,3,1,6,6,0,1,300,0,2300,2.0,141000,47
45,45,61.0,7658,4,2,5,3,1,2,0,1,2,1,6,6,1,2,576,0,3504,3.0,319900,5
46,46,48.0,12822,0,0,5,1,1,2,0,1,1,1,6,6,1,2,670,0,3583,2.5,239686,6
47,47,84.0,11096,0,2,5,1,1,2,0,1,3,1,7,6,0,3,826,0,3312,2.0,249700,1
48,48,33.0,4456,1,5,5,1,1,0,2,1,2,3,8,6,0,0,0,0,2188,2.0,113000,89
49,49,66.0,7742,0,2,7,1,1,1,0,1,3,1,6,6,0,1,386,0,1910,2.0,127000,41
50,50,60.0,13869,0,5,6,1,1,2,2,1,3,1,6,6,0,2,388,0,2264,2.5,177000,10
51,51,52.0,6240,0,0,6,1,1,2,4,1,3,1,6,6,1,2,528,0,1632,1.0,114500,72
52,52,110.0,8472,2,2,5,1,1,1,4,0,2,1,5,6,0,2,516,0,1632,2.0,110000,47
53,53,68.0,50271,0,2,5,1,7,1,2,1,0,1,5,6,1,3,894,0,3684,2.5,385000,25
54,54,60.0,7134,0,7,5,1,1,1,4,1,3,1,6,2,1,2,572,0,1744,1.0,130000,52
55,55,100.0,10175,0,2,5,1,1,1,2,1,3,1,7,6,1,2,576,0,2850,2.0,180500,44
56,56,24.0,2645,3,5,5,1,1,2,0,1,3,1,7,6,0,2,480,0,2709,3.5,172500,10
57,57,89.0,11645,0,5,5,1,1,2,0,1,3,1,7,6,0,2,565,0,2580,2.5,196500,2
58,58,66.0,13682,0,5,5,3,1,2,0,1,3,1,10,6,1,3,641,0,4355,3.5,438780,0
59,59,60.0,7200,0,2,7,1,1,1,0,1,2,1,4,6,0,1,352,0,1560,1.0,124900,36
60,60,63.0,13072,0,2,5,1,1,2,0,1,3,1,5,6,0,2,576,0,2316,2.5,158000,2
61,61,60.0,7200,0,4,7,1,1,0,4,0,3,1,6,6,0,1,288,0,1641,1.0,101000,87
62,62,44.0,6442,4,2,5,1,1,2,0,1,2,1,6,6,1,2,484,0,2740,2.0,202500,1
63,63,50.0,10300,0,5,6,1,1,0,2,1,3,1,9,6,0,2,480,0,2286,2.0,140000,89
64,64,60.0,9375,0,5,5,1,1,2,0,1,3,1,8,6,0,2,645,0,3091,3.5,219500,12
65,65,76.0,9591,0,5,5,1,1,2,0,1,4,1,9,6,1,3,852,0,3616,2.5,317000,3
66,66,60.0,19900,0,2,5,1,1,1,4,1,3,1,7,2,1,2,576,0,4154,3.0,180000,40
67,67,72.0,10665,0,2,5,1,1,2,0,1,3,1,7,6,0,2,558,0,2932,3.0,226000,4
68,68,47.0,4608,0,2,6,1,1,1,4,1,2,1,4,6,0,1,220,0,1494,1.0,80000,65
69,69,81.0,15593,0,0,4,1,1,1,4,1,3,1,7,6,1,2,667,0,3591,2.0,225000,53
70,70,95.0,13651,0,2,6,1,1,1,0,1,3,1,8,6,2,2,516,0,4446,3.0,244000,34
71,71,69.0,7599,0,2,6,1,1,1,4,1,2,1,4,6,0,2,360,0,1690,2.0,129500,25
72,72,74.0,10141,0,5,5,1,1,2,2,1,3,1,7,6,1,2,427,0,2550,2.5,185000,11
73,73,85.0,10200,0,2,7,1,1,1,2,1,3,1,6,6,0,2,490,0,2172,2.0,144900,56
74,74,60.0,5790,0,5,6,2,1,1,2,0,3,2,8,6,0,1,379,0,2445,2.0,107400,95
75,75,21.0,1596,3,7,5,1,1,1,4,1,2,1,5,6,0,1,297,0,1450,2.0,91000,36
76,76,60.0,8475,0,2,7,1,1,1,0,1,2,1,4,6,0,1,283,0,1904,1.0,135750,52
77,77,50.0,8635,0,0,5,1,1,1,4,1,2,1,6,2,0,1,240,0,1957,2.0,127000,60
78,78,72.0,10778,2,2,5,3,1,1,4,0,4,2,8,6,0,0,0,0,3536,2.0,136500,42
79,79,60.0,10440,0,5,6,1,1,2,2,1,2,1,5,6,0,2,440,0,1670,1.5,110000,99
80,80,100.0,13000,0,5,6,1,1,1,4,1,4,1,8,6,1,1,509,0,3038,2.5,193500,41
81,81,32.0,4500,4,2,5,3,1,2,0,1,2,1,5,6,0,2,405,0,2574,3.0,153500,8
82,82,78.0,10206,0,2,5,1,1,2,0,1,3,1,6,6,1,3,758,0,3126,2.0,245000,1
83,83,80.0,8892,0,2,5,1,1,1,2,1,3,1,6,6,0,2,461,0,2130,1.5,126500,47
84,84,60.0,8530,0,7,5,1,1,2,2,1,3,1,7,6,1,2,400,0,1858,2.5,168500,14
85,85,121.0,16059,0,5,5,3,1,1,0,1,4,1,9,6,1,2,462,0,3705,2.5,260000,15
86,86,122.0,11911,0,5,5,1,1,2,0,1,3,1,6,6,1,2,400,0,2244,2.5,174000,4
87,87,40.0,3951,4,5,5,1,1,2,0,1,2,1,4,6,0,2,528,0,1836,2.5,164500,0
88,88,105.0,8470,0,0,2,3,1,1,4,0,2,1,6,6,0,0,0,0,2026,1.0,85000,94
89,89,60.0,8070,0,2,5,1,1,2,0,1,3,1,5,6,0,0,0,0,1980,2.0,123600,13
90,90,60.0,7200,0,2,5,1,1,3,4,1,2,1,4,6,0,2,420,0,1040,1.0,109900,56
91,91,85.0,8500,0,2,3,3,1,1,4,1,2,1,6,6,0,2,480,0,2470,1.0,98600,45
92,92,80.0,13360,0,2,7,1,1,0,0,1,2,1,5,6,0,2,432,0,1840,2.0,163500,88
93,93,60.0,7200,1,4,6,3,1,0,0,0,4,2,9,6,1,2,506,0,3505,2.5,133900,97
94,94,69.0,9337,0,5,5,1,1,2,0,1,3,1,7,6,0,2,684,0,2610,3.5,204750,10
95,95,60.0,9765,0,5,8,1,1,2,2,1,3,1,6,6,1,2,420,0,2150,2.5,185000,16
96,96,78.0,10264,0,2,5,1,1,2,0,1,3,1,6,6,0,2,472,0,3176,2.0,214000,7
97,97,73.0,10921,0,2,5,3,1,1,4,1,3,1,6,6,0,1,432,0,1920,2.0,94750,42
98,98,85.0,10625,0,2,5,1,1,0,1,0,2,1,5,6,0,1,366,0,1293,1.0,83000,90
99,99,77.0,9320,0,2,5,1,1,1,1,1,3,1,6,6,0,0,0,0,2175,2.5,128950,51
100,100,60.0,10603,0,2,7,1,1,2,2,1,3,1,6,6,2,2,480,0,3220,3.0,205000,33
101,101,77.0,9206,0,5,5,1,1,1,4,1,3,1,7,6,1,2,476,0,2473,2.5,178000,25
102,102,64.0,7018,2,2,5,1,1,3,4,1,4,2,8,6,0,2,410,0,1535,2.0,118964,30
103,103,94.0,10402,0,2,5,1,1,2,0,1,3,1,6,6,0,3,740,0,2452,2.0,198900,1
104,104,60.0,7758,0,0,4,1,1,2,0,1,4,1,7,6,2,1,240,0,2858,1.5,169500,76
105,105,75.0,9375,0,5,5,3,1,2,0,1,3,1,9,6,1,2,648,0,3045,2.5,250000,5
106,106,60.0,10800,0,2,7,4,1,0,2,1,2,1,6,6,0,1,273,0,1688,1.0,100000,122
107,107,50.0,6000,0,2,5,1,1,1,0,1,2,1,5,6,0,1,250,0,1578,1.0,115000,60
108,108,85.0,8500,0,0,7,1,1,1,4,0,3,1,7,6,0,0,0,0,2310,2.0,115000,88
109,109,105.0,11751,0,2,6,3,1,1,0,1,3,1,7,6,1,2,546,0,3688,2.0,190000,33
110,110,75.0,9525,0,0,4,1,1,1,2,1,4,1,7,6,0,1,325,0,2849,2.0,136900,52
111,111,60.0,7750,0,7,5,1,1,2,0,1,3,1,7,6,1,2,400,0,1814,2.5,180000,10
112,112,77.0,9965,0,5,5,1,1,2,0,1,4,1,10,6,1,3,792,0,3960,3.5,383970,0
113,113,60.0,21000,0,2,5,3,1,1,4,1,3,1,7,6,2,2,450,0,4068,3.0,217000,54
114,114,61.0,7259,0,5,8,2,1,1,0,1,3,1,9,6,1,1,180,0,3348,3.5,259500,62
115,115,34.0,3230,4,5,5,1,1,2,2,1,2,1,5,6,1,2,440,0,2187,2.5,176000,8
116,116,60.0,11616,0,2,5,1,1,1,4,1,3,1,6,6,1,1,288,0,2184,1.5,139000,47
117,117,74.0,8536,0,2,5,1,1,2,2,1,2,1,5,6,0,2,430,0,2250,1.5,155000,1
118,118,90.0,12376,0,5,5,3,1,2,2,1,5,1,11,6,2,3,594,0,4895,4.0,320000,20
119,119,65.0,8461,0,5,5,1,1,2,0,1,3,1,8,6,1,2,390,0,2184,2.5,163990,1
